Title,Ranking,Initial release year,Casting,Rating
      The Shawshank Redemption,1,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.2
      The Godfather,2,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.2
      The Dark Knight,3,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",9.0
      The Godfather: Part II,4,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",9.0
      12 Angry Men,5,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",9.0
      Schindler's List,6,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.9
      The Lord of the Rings: The Return of the King,7,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.9
      Pulp Fiction,8,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.9
      The Lord of the Rings: The Fellowship of the Ring,9,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.8
"      The Good, the Bad and the Ugly",10,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.8
      Forrest Gump,11,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.8
      Fight Club,12,1999,"David Fincher (dir.), Brad Pitt, Edward Norton",8.8
      Inception,13,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.7
      The Lord of the Rings: The Two Towers,14,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.7
      The Empire Strikes Back,15,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.7
      The Matrix,16,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.7
      Goodfellas,17,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.7
      One Flew Over the Cuckoo's Nest,18,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.6
      Se7en,19,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.6
      Seven Samurai,20,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.6
      It's a Wonderful Life,21,1946,"Frank Capra (dir.), James Stewart, Donna Reed",8.6
      The Silence of the Lambs,22,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.6
      Saving Private Ryan,23,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.6
      City of God,24,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.6
      Life Is Beautiful,25,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.6
      The Green Mile,26,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.6
      Star Wars,27,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.6
      Interstellar,28,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.6
      Terminator 2: Judgment Day,29,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.5
      Back to the Future,30,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.5
      Spirited Away,31,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.5
      Psycho,32,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.5
      Leon: The Professional,33,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.5
      The Pianist,34,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.5
      Parasite,35,2019,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee",8.5
      The Lion King,36,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.5
      Gladiator,37,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.5
      American History X,38,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.5
      The Usual Suspects,39,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.5
